instancia, n, bw_0, CMr, t(ms), MILS, t(ms)
Tina_AskCal, 11, 9, 10, 0, 5, 0
bcspwr01, 39, 38, 38, 0, 21, 0
LFAT5, 14, 5, 5, 0, 3, 0
Tina_AskCog, 11, 9, 9, 0, 6, 0
Tina_DisCal, 11, 9, 10, 0, 6, 0
bcspwr02, 49, 34, 34, 0, 30, 0
jgl009, 9, 8, 8, 0, 7, 0
ex5, 27, 20, 20, 0, 10, 0
b1_ss, 7, 6, 5, 0, 5, 0
Trefethen_20b, 19, 16, 16, 0, 13, 0
LF10, 18, 3, 3, 0, 3, 0
jgl011, 11, 10, 10, 0, 9, 0
Trefethen_20, 20, 16, 16, 0, 13, 0
ibm32, 32, 26, 30, 0, 22, 0
mycielskian3, 5, 3, 3, 0, 2, 0
mycielskian4, 11, 8, 8, 0, 7, 0
curtis54, 54, 44, 36, 0, 20, 2
GD02_a, 23, 21, 21, 0, 11, 0
Stranke94, 10, 9, 9, 0, 9, 0
cage3, 5, 4, 2, 0, 2, 0
pores_1, 30, 11, 14, 0, 11, 1
Ragusa16, 24, 21, 19, 0, 12, 0
rgg010, 10, 9, 9, 0, 9, 0
mycielskian5, 23, 19, 19, 0, 18, 0
lap_25, 25, 6, 6, 0, 6, 1
bcsstk01, 48, 35, 35, 0, 31, 1
can_24, 24, 21, 21, 0, 14, 0
Tina_DisCog, 11, 9, 8, 0, 6, 0
cage4, 9, 7, 5, 0, 5, 0
